Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group,Promotion Gap,Early_Stage_Risk,Risk_Score,Predicted_Attrition
37,0,Travel_Rarely,228,Sales,6,4,Medical,3,Male,98,3,2,Sales Executive,4,Married,6502.0,22825,4,0,14,3,2,1,7,5,4,5,4,0,1,Senior/Management,5,0,0.053788711401239545,0
21,0,Travel_Rarely,996,Research & Development,3,2,Medical,4,Male,100,2,1,Research Scientist,3,Single,3230.0,10531,1,0,17,3,1,0,3,4,4,3,2,1,0,Early Career,2,0,0.24694521676362324,0
37,0,Non-Travel,728,Research & Development,1,4,Medical,1,Female,80,3,3,Research Director,4,Divorced,13603.0,11677,2,1,18,3,1,2,15,2,3,5,2,0,2,Senior/Management,5,0,0.05512674343769394,0
35,0,Travel_Rarely,1315,Research & Development,22,3,Life Sciences,2,Female,71,4,3,Manager,2,Divorced,11996.0,19100,7,0,18,3,2,1,10,6,2,7,7,6,2,Senior/Management,1,0,0.04813472606760287,0
38,0,Travel_Rarely,322,Sales,7,2,Medical,1,Female,44,4,2,Sales Executive,1,Divorced,5605.0,19191,1,1,24,4,3,1,8,3,3,8,0,7,7,Senior/Management,1,1,0.09481047629307517,0
26,0,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397.0,26767,1,0,20,4,1,1,6,6,1,6,5,1,4,Core Contributor,5,0,0.05255185296723235,0
50,0,Travel_Rarely,797,Research & Development,4,1,Life Sciences,1,Male,96,3,5,Research Director,2,Divorced,19144.0,15815,3,0,14,3,1,2,28,4,2,10,4,1,6,Executive/Late Career,9,0,0.05199264639546236,0
53,0,Travel_Rarely,1070,Research & Development,3,4,Medical,3,Male,45,3,4,Research Director,3,Married,17584.0,21016,3,1,16,3,4,3,21,5,2,5,3,1,3,Executive/Late Career,4,0,0.028043283510697826,0
42,0,Travel_Rarely,635,Sales,1,1,Life Sciences,2,Male,99,3,2,Sales Executive,3,Married,4907.0,24532,1,0,25,4,3,0,20,3,3,20,16,11,6,Senior/Management,9,0,0.036916442185551596,0
29,0,Travel_Frequently,442,Sales,2,2,Life Sciences,2,Male,44,3,2,Sales Executive,4,Single,4554.0,20260,1,0,18,3,1,0,10,3,2,10,7,0,9,Core Contributor,10,0,0.07299940252471859,0
55,0,Travel_Rarely,147,Research & Development,20,2,Technical Degree,2,Male,37,3,2,Laboratory Technician,4,Married,5415.0,15972,3,1,19,3,4,1,12,4,3,10,7,0,8,Executive/Late Career,10,0,0.06762323034135172,0
26,0,Travel_Frequently,496,Research & Development,11,2,Medical,1,Male,60,3,2,Healthcare Representative,1,Married,4741.0,22722,1,1,13,3,3,1,5,3,3,5,3,3,3,Core Contributor,2,0,0.19707886082751172,0
37,0,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,4,Female,42,3,1,Research Scientist,4,Single,2115.0,15881,1,0,12,3,2,0,17,3,3,17,12,5,7,Senior/Management,12,0,0.1293114987220096,0
44,1,Travel_Frequently,920,Research & Development,24,3,Life Sciences,4,Male,43,3,1,Laboratory Technician,3,Divorced,3161.0,19920,3,1,22,4,4,1,19,0,1,1,0,0,0,Senior/Management,1,1,0.6647952571607008,1
38,0,Travel_Rarely,688,Research & Development,23,4,Life Sciences,4,Male,82,3,2,Healthcare Representative,4,Divorced,5745.0,18899,9,0,14,3,2,1,10,2,3,2,2,1,2,Senior/Management,1,0,0.09251574487748813,0
26,1,Travel_Rarely,1449,Research & Development,16,4,Medical,1,Male,45,3,1,Laboratory Technician,2,Divorced,2373.0,14180,2,1,13,3,4,1,5,2,3,3,2,0,2,Core Contributor,3,0,0.7230244005273194,1
28,0,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,4,Female,66,3,1,Research Scientist,4,Single,3310.0,4488,1,0,21,4,4,0,5,3,3,5,3,0,2,Core Contributor,5,0,0.11265135841525298,0
49,0,Travel_Frequently,636,Research & Development,10,4,Life Sciences,3,Female,35,3,5,Research Director,1,Single,18665.0,25594,9,1,11,3,4,0,22,4,3,3,2,1,2,Executive/Late Career,2,0,0.1194054989292339,0
36,0,Travel_Rarely,506,Research & Development,3,3,Technical Degree,3,Male,30,3,2,Research Scientist,2,Single,4485.0,26285,4,0,12,3,4,0,10,2,3,8,0,7,7,Senior/Management,1,1,0.087999430212202,0
31,0,Travel_Frequently,444,Sales,5,3,Marketing,4,Female,84,3,1,Sales Representative,2,Divorced,2789.0,3909,1,0,11,3,3,1,2,5,2,2,2,2,2,Core Contributor,0,0,0.4275656779146142,1
26,1,Travel_Rarely,950,Sales,4,4,Marketing,4,Male,48,2,2,Sales Executive,4,Single,5828.0,8450,1,1,12,3,2,0,8,0,3,8,7,7,4,Core Contributor,1,0,0.39167110412056977,1
37,0,Travel_Frequently,889,Research & Development,9,3,Medical,2,Male,53,3,1,Research Scientist,4,Married,2326.0,11411,1,1,12,3,3,3,4,3,2,4,2,1,2,Senior/Management,3,0,0.17042004604931932,0
42,0,Travel_Frequently,555,Sales,26,3,Marketing,3,Female,77,3,4,Sales Executive,2,Married,13525.0,14864,5,0,14,3,4,1,23,2,4,20,4,4,8,Senior/Management,16,0,0.08882494054679813,0
18,1,Travel_Rarely,230,Research & Development,3,3,Life Sciences,3,Male,54,3,1,Laboratory Technician,3,Single,1420.0,25233,1,0,13,3,3,0,0,2,3,0,0,0,0,Early Career,0,1,0.8596138020644776,1
35,0,Travel_Rarely,1232,Sales,16,3,Marketing,3,Male,96,3,3,Sales Executive,2,Married,8020.0,5100,0,0,15,3,3,2,12,3,2,11,9,6,9,Senior/Management,5,0,0.04522792134116389,0
36,0,Travel_Frequently,566,Research & Development,18,4,Life Sciences,3,Male,81,4,1,Laboratory Technician,4,Married,3688.0,7122,4,0,18,3,4,2,4,2,3,1,0,0,0,Senior/Management,1,1,0.09466260801821845,0
51,0,Travel_Rarely,1302,Research & Development,2,3,Medical,4,Male,84,1,2,Manufacturing Director,2,Divorced,5482.0,16321,5,0,18,3,4,1,13,3,3,4,1,1,2,Executive/Late Career,3,1,0.04467838554096575,0
41,0,Travel_Rarely,334,Sales,2,4,Life Sciences,4,Male,88,3,4,Manager,2,Single,16015.0,15896,1,0,19,3,2,0,22,2,3,22,10,0,4,Senior/Management,22,0,0.05850334021731452,0
18,0,Travel_Rarely,812,Sales,10,3,Medical,4,Female,69,2,1,Sales Representative,3,Single,1200.0,9724,1,0,12,3,1,0,0,2,3,0,0,0,0,Early Career,0,1,0.7898730470591591,1
28,0,Travel_Rarely,1476,Research & Development,16,2,Medical,2,Male,68,4,2,Healthcare Representative,1,Single,5661.0,4824,0,0,19,3,3,0,9,2,3,8,3,0,7,Core Contributor,8,0,0.11314576510771072,0
31,0,Travel_Rarely,218,Sales,7,3,Technical Degree,2,Male,100,4,2,Sales Executive,4,Married,6929.0,12241,4,0,11,3,2,1,10,3,2,8,7,7,7,Core Contributor,1,0,0.12160621180850685,0
39,0,Travel_Rarely,1132,Research & Development,1,3,Medical,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613.0,10942,0,0,17,3,1,3,19,5,2,18,10,3,7,Senior/Management,15,0,0.027781129819055974,0
36,0,Non-Travel,1105,Research & Development,24,4,Life Sciences,2,Female,47,3,2,Laboratory Technician,2,Married,5674.0,6927,7,0,15,3,3,1,11,3,3,9,8,0,8,Senior/Management,9,0,0.07345493506296755,0
32,0,Travel_Rarely,906,Sales,7,3,Life Sciences,4,Male,91,2,2,Sales Executive,3,Married,5484.0,16985,1,0,14,3,3,1,13,3,2,13,8,4,8,Core Contributor,9,0,0.06647251987800169,0
38,0,Travel_Rarely,849,Research & Development,25,2,Life Sciences,1,Female,81,2,3,Research Director,2,Married,12061.0,26707,3,0,17,3,3,1,19,2,3,10,8,0,1,Senior/Management,10,0,0.03333467779993151,0
58,0,Non-Travel,390,Research & Development,1,4,Life Sciences,4,Male,32,1,2,Healthcare Representative,3,Divorced,5660.0,17056,2,1,13,3,4,1,12,2,3,5,3,1,2,Executive/Late Career,4,0,0.04463153227245514,0
31,0,Travel_Rarely,691,Research & Development,5,4,Technical Degree,3,Male,86,3,1,Research Scientist,4,Married,4821.0,10077,0,1,12,3,3,1,6,4,3,5,2,0,3,Core Contributor,5,0,0.07285345387155538,0
31,0,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,Male,62,2,2,Human Resources,1,Married,6410.0,17822,3,0,12,3,4,0,9,1,3,2,2,1,0,Core Contributor,1,0,0.33386247427730725,1
45,0,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,Male,97,3,3,Laboratory Technician,1,Divorced,5210.0,20308,1,0,18,3,1,1,24,2,3,24,9,9,11,Executive/Late Career,15,0,0.07429644107813906,0
31,0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,3,Male,32,3,1,Research Scientist,4,Divorced,2695.0,7747,0,1,18,3,2,1,3,2,1,2,2,2,2,Core Contributor,0,0,0.1612266121319207,0
33,0,Travel_Frequently,553,Research & Development,5,4,Life Sciences,4,Female,74,3,3,Manager,2,Married,11878.0,23364,6,0,11,3,2,2,12,2,3,10,6,8,8,Core Contributor,2,0,0.061884285151197954,0
39,0,Travel_Rarely,117,Research & Development,10,1,Medical,3,Male,99,3,4,Manager,1,Married,17068.0,5355,1,1,14,3,4,0,21,3,3,21,9,11,10,Senior/Management,10,0,0.049206587418800345,0
43,0,Travel_Frequently,185,Research & Development,10,4,Life Sciences,3,Female,33,3,1,Laboratory Technician,4,Single,2455.0,10675,0,0,19,3,1,0,9,5,3,8,7,1,7,Senior/Management,7,0,0.08311305887616552,0
49,0,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,3,Female,90,2,4,Healthcare Representative,3,Single,13964.0,17810,7,1,12,3,4,0,25,2,3,7,1,0,7,Executive/Late Career,7,1,0.0720443709295987,0
52,1,Travel_Rarely,723,Research & Development,8,4,Medical,3,Male,85,2,2,Research Scientist,2,Married,4941.0,17747,2,0,15,3,1,0,11,3,2,8,2,7,7,Executive/Late Career,1,0,0.5451558626461924,1
27,0,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,3,Female,85,3,1,Research Scientist,2,Single,2478.0,20938,1,1,12,3,2,0,4,2,2,4,3,1,2,Core Contributor,3,0,0.4899513252850759,1
32,0,Travel_Rarely,588,Sales,8,2,Technical Degree,3,Female,65,2,2,Sales Executive,2,Married,5228.0,24624,1,1,11,3,4,0,13,2,3,13,12,11,9,Core Contributor,2,0,0.16464574367809412,0
27,0,Travel_Rarely,1377,Sales,2,3,Life Sciences,4,Male,74,3,2,Sales Executive,3,Single,4478.0,5242,1,1,11,3,1,0,5,3,3,5,4,0,4,Core Contributor,5,0,0.1892953917682375,0
31,0,Travel_Rarely,691,Sales,7,3,Marketing,4,Male,73,3,2,Sales Executive,4,Divorced,7547.0,7143,4,0,12,3,4,3,13,3,3,7,7,1,7,Core Contributor,6,0,0.07840831206090777,0
32,0,Travel_Rarely,1018,Research & Development,2,4,Medical,1,Female,74,4,2,Research Scientist,4,Single,5055.0,10557,7,0,16,3,3,0,10,0,2,7,7,0,7,Core Contributor,7,0,0.11090785800618652,0
28,1,Travel_Rarely,1157,Research & Development,2,4,Medical,1,Male,84,1,1,Research Scientist,4,Married,3464.0,24737,5,1,13,3,4,0,5,4,2,3,2,2,2,Core Contributor,1,0,0.7323552572640983,1
30,0,Travel_Rarely,1275,Research & Development,28,2,Medical,4,Female,64,3,2,Research Scientist,4,Married,5775.0,11934,1,0,13,3,4,2,11,2,3,10,8,1,9,Core Contributor,9,0,0.052922168021105165,0
31,0,Travel_Frequently,798,Research & Development,7,2,Life Sciences,3,Female,48,2,3,Manufacturing Director,3,Married,8943.0,14034,1,0,24,4,1,1,10,2,3,10,9,8,9,Core Contributor,2,0,0.08735473939932277,0
39,0,Travel_Frequently,672,Research & Development,7,2,Medical,3,Male,54,2,5,Manager,4,Married,19272.0,21141,1,0,15,3,1,1,21,2,3,21,9,13,3,Senior/Management,8,0,0.031348276654867606,0
39,1,Travel_Rarely,1162,Sales,3,2,Medical,4,Female,41,3,2,Sales Executive,3,Married,5238.0,17778,4,1,18,3,1,0,12,3,2,1,0,0,0,Senior/Management,1,1,0.6898412834252311,1
33,0,Travel_Frequently,508,Sales,10,3,Marketing,2,Male,46,2,2,Sales Executive,4,Single,4682.0,4317,3,0,14,3,3,0,9,6,2,7,7,0,1,Core Contributor,7,0,0.13740307590057582,0
47,0,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,4,Male,42,3,5,Research Director,3,Married,18300.0,16375,4,0,11,3,2,1,21,2,3,3,2,1,1,Executive/Late Career,2,0,0.027618074473038722,0
43,0,Travel_Frequently,559,Research & Development,10,4,Life Sciences,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257.0,6227,1,0,11,3,2,1,9,3,4,9,7,0,0,Senior/Management,9,0,0.10682600015847214,0
27,0,Non-Travel,210,Sales,1,1,Marketing,3,Male,73,3,2,Sales Executive,2,Married,6349.0,22107,0,1,13,3,4,1,6,0,3,5,4,1,4,Core Contributor,4,0,0.10840612676162738,0
54,0,Travel_Frequently,928,Research & Development,20,4,Life Sciences,4,Female,31,3,2,Research Scientist,3,Single,4869.0,16885,3,0,12,3,4,0,20,4,2,4,3,0,3,Executive/Late Career,4,0,0.05401927107968205,0
43,0,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,3,Female,43,3,3,Healthcare Representative,1,Married,9985.0,9262,8,0,16,3,1,1,10,1,2,1,0,0,0,Senior/Management,1,1,0.16287252565237914,0
45,0,Travel_Rarely,549,Research & Development,8,4,Other,4,Male,75,3,2,Research Scientist,4,Married,3697.0,9278,9,0,14,3,1,2,12,3,3,10,9,9,8,Executive/Late Career,1,0,0.06284155840959622,0
40,0,Travel_Rarely,1124,Sales,1,2,Medical,2,Male,57,1,2,Sales Executive,4,Married,7457.0,13273,2,1,22,4,3,3,6,2,2,4,3,0,2,Senior/Management,4,0,0.08415951808655711,0
29,1,Travel_Rarely,318,Research & Development,8,4,Other,2,Male,77,1,1,Laboratory Technician,1,Married,2119.0,4759,1,1,11,3,4,0,7,4,2,7,7,0,7,Core Contributor,7,0,0.6837572701885379,1
29,0,Travel_Rarely,738,Research & Development,9,5,Other,2,Male,30,2,1,Laboratory Technician,4,Single,3983.0,7621,0,0,17,3,3,0,4,2,3,3,2,2,2,Core Contributor,1,0,0.14515428538998493,0
30,0,Travel_Rarely,570,Sales,5,3,Marketing,4,Female,30,2,2,Sales Executive,3,Divorced,6118.0,5431,1,0,13,3,3,3,10,2,3,10,9,1,2,Core Contributor,9,0,0.0826951182880535,0
27,0,Travel_Rarely,1130,Sales,8,4,Marketing,2,Female,56,3,2,Sales Executive,2,Married,6214.0,3415,1,0,18,3,1,1,8,3,3,8,7,0,7,Core Contributor,8,0,0.08746079462244519,0
37,0,Travel_Rarely,1192,Research & Development,5,2,Medical,4,Male,61,3,2,Manufacturing Director,4,Divorced,6347.0,23177,7,0,16,3,3,2,8,2,2,6,2,0,4,Senior/Management,6,0,0.060907092238564234,0
38,0,Travel_Rarely,343,Research & Development,15,2,Life Sciences,3,Male,92,2,3,Research Director,4,Divorced,11510.0,15682,0,1,14,3,2,1,12,3,3,11,10,2,9,Senior/Management,9,0,0.013640212981134768,0
31,0,Travel_Rarely,1232,Research & Development,7,4,Medical,3,Female,39,3,3,Manufacturing Director,4,Single,7143.0,25713,1,1,14,3,3,0,11,2,2,11,9,4,10,Core Contributor,7,0,0.05200295941079513,0
29,0,Travel_Rarely,144,Sales,10,1,Marketing,4,Female,39,2,2,Sales Executive,2,Divorced,8268.0,11866,1,1,14,3,1,2,7,2,3,7,7,1,7,Core Contributor,6,0,0.1260075151756736,0
35,0,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,3,Male,62,3,3,Manufacturing Director,2,Single,8095.0,18264,0,0,13,3,4,0,17,5,3,16,6,0,13,Senior/Management,16,0,0.019570918385457544,0
23,0,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,3,Male,83,3,1,Research Scientist,4,Divorced,2904.0,16092,1,0,12,3,3,2,4,2,2,4,2,0,2,Early Career,4,0,0.1030383937358988,0
41,0,Travel_Rarely,483,Research & Development,6,3,Medical,4,Male,95,2,2,Manufacturing Director,2,Single,6032.0,10110,6,1,15,3,4,0,8,3,3,5,4,1,2,Senior/Management,4,0,0.15764226299208434,0
47,0,Travel_Frequently,1309,Sales,4,1,Medical,2,Male,99,3,2,Sales Representative,3,Single,2976.0,25751,3,0,19,3,1,0,5,3,3,0,0,0,0,Executive/Late Career,0,1,0.16882359188120666,0
42,0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,Female,44,3,4,Research Director,4,Single,15992.0,15901,2,0,14,3,2,0,16,2,3,1,0,0,0,Senior/Management,1,1,0.10009655446959892,0
29,0,Non-Travel,746,Sales,2,3,Life Sciences,4,Male,61,3,2,Sales Executive,3,Married,4649.0,16928,1,0,14,3,1,1,4,3,2,4,3,0,2,Core Contributor,4,0,0.06982347862409861,0
42,0,Travel_Rarely,544,Human Resources,2,1,Technical Degree,3,Male,52,3,1,Human Resources,3,Divorced,2696.0,24017,0,1,11,3,3,1,4,5,3,3,2,1,0,Senior/Management,2,0,0.18169863387681107,0
32,0,Travel_Rarely,1062,Research & Development,2,3,Medical,3,Female,75,3,1,Laboratory Technician,2,Married,2370.0,3956,1,0,13,3,3,1,8,4,3,8,0,0,7,Core Contributor,8,1,0.07133132872253703,0
48,0,Travel_Rarely,530,Sales,29,1,Medical,1,Female,91,3,3,Manager,3,Married,12504.0,23978,3,0,21,4,2,1,15,3,1,0,0,0,0,Executive/Late Career,0,1,0.028862755673214818,0
37,0,Travel_Rarely,1319,Research & Development,6,3,Medical,3,Male,51,4,2,Research Scientist,1,Divorced,5974.0,17001,4,1,13,3,1,2,13,2,3,7,7,6,7,Senior/Management,1,0,0.08252573801968137,0
30,0,Non-Travel,641,Sales,25,2,Technical Degree,4,Female,85,3,2,Sales Executive,3,Married,4736.0,6069,7,1,12,3,2,1,4,2,4,2,2,2,2,Core Contributor,0,0,0.18318788958128385,0
26,0,Travel_Rarely,933,Sales,1,3,Life Sciences,3,Male,57,3,2,Sales Executive,3,Married,5296.0,20156,1,0,17,3,2,1,8,3,3,8,7,7,7,Core Contributor,1,0,0.06592416016742728,0
42,0,Travel_Rarely,1332,Research & Development,2,4,Other,1,Male,98,2,2,Healthcare Representative,4,Single,6781.0,17078,3,0,23,4,2,0,14,6,3,1,0,0,0,Senior/Management,1,1,0.0572645924867531,0
21,1,Travel_Frequently,756,Sales,1,1,Technical Degree,1,Female,99,2,1,Sales Representative,2,Single,2174.0,9150,1,1,11,3,3,0,3,3,3,3,2,1,2,Early Career,2,0,0.503009594075726,1
36,0,Non-Travel,845,Sales,1,5,Medical,4,Female,45,3,2,Sales Executive,4,Single,6653.0,15276,4,0,15,3,2,0,7,6,3,1,0,0,0,Senior/Management,1,1,0.13253358272147778,0
36,0,Travel_Frequently,541,Sales,3,4,Medical,1,Male,48,2,3,Sales Executive,4,Married,9699.0,7246,4,0,11,3,1,1,16,2,3,13,9,1,12,Senior/Management,12,0,0.09393847985999962,0
57,0,Travel_Rarely,593,Research & Development,1,4,Medical,4,Male,88,3,2,Healthcare Representative,3,Married,6755.0,2967,2,0,11,3,3,0,15,2,3,3,2,1,2,Executive/Late Career,2,0,0.05198830956083273,0
40,0,Travel_Rarely,1171,Research & Development,10,4,Life Sciences,4,Female,46,4,1,Laboratory Technician,3,Married,2213.0,22495,3,1,13,3,3,1,10,3,3,7,7,1,7,Senior/Management,6,0,0.07770249789285212,0
21,0,Non-Travel,895,Sales,9,2,Medical,1,Male,39,3,1,Sales Representative,4,Single,2610.0,2851,1,0,24,4,3,0,3,3,2,3,2,2,2,Early Career,1,0,0.10685675192561178,0
33,1,Travel_Rarely,350,Sales,5,3,Marketing,4,Female,34,3,1,Sales Representative,3,Single,2851.0,9150,1,1,13,3,2,0,1,2,3,1,0,0,0,Core Contributor,1,1,0.8409990722325525,1
37,0,Travel_Rarely,921,Research & Development,10,3,Medical,3,Female,98,3,1,Laboratory Technician,1,Married,3452.0,17663,6,0,20,4,2,1,17,3,3,5,4,0,3,Senior/Management,5,0,0.04188699037850543,0
46,0,Non-Travel,1144,Research & Development,7,4,Medical,3,Female,30,3,2,Manufacturing Director,3,Married,5258.0,16044,2,0,14,3,3,0,7,2,4,1,0,0,0,Executive/Late Career,1,1,0.09363782520322167,0
41,1,Travel_Frequently,143,Sales,4,3,Marketing,1,Male,56,3,2,Sales Executive,2,Single,9355.0,9558,1,0,18,3,3,0,8,5,3,8,7,7,7,Senior/Management,1,0,0.6302246049112388,1
50,0,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,4,Male,100,2,3,Healthcare Representative,4,Single,10496.0,2755,6,0,15,3,4,0,20,2,3,4,3,1,3,Executive/Late Career,3,0,0.08167034961036648,0
40,1,Travel_Rarely,575,Sales,22,2,Marketing,3,Male,68,2,2,Sales Executive,3,Married,6380.0,6110,2,1,12,3,1,2,8,6,3,6,4,1,0,Senior/Management,5,0,0.6216785407534882,1
31,0,Travel_Rarely,408,Research & Development,9,4,Life Sciences,3,Male,42,2,1,Research Scientist,2,Single,2657.0,7551,0,1,16,3,4,0,3,5,3,2,2,2,2,Core Contributor,0,0,0.22916011433283984,0
21,1,Travel_Rarely,156,Sales,12,3,Life Sciences,3,Female,90,4,1,Sales Representative,2,Single,2716.0,25422,1,0,15,3,4,0,1,0,3,1,0,0,0,Early Career,1,1,0.8152864740818374,1
29,0,Travel_Rarely,1283,Research & Development,23,3,Life Sciences,4,Male,54,3,1,Research Scientist,4,Single,2201.0,18168,9,0,16,3,4,0,6,4,3,3,2,1,2,Core Contributor,2,0,0.1713720830731416,0
35,0,Travel_Rarely,755,Research & Development,9,4,Life Sciences,3,Male,97,2,2,Healthcare Representative,2,Single,6540.0,19394,9,0,19,3,3,0,10,5,3,1,1,0,0,Senior/Management,1,1,0.17363933701312678,0
27,0,Travel_Rarely,1469,Research & Development,1,2,Medical,4,Male,82,3,1,Laboratory Technician,2,Divorced,3816.0,17881,1,0,11,3,2,1,5,2,3,5,2,0,4,Core Contributor,5,0,0.09897308589099843,0
28,0,Travel_Rarely,304,Sales,9,4,Life Sciences,2,Male,92,3,2,Sales Executive,4,Single,5253.0,20750,1,0,16,3,4,0,7,1,3,7,5,0,7,Core Contributor,7,0,0.10530796323678718,0
49,0,Travel_Rarely,1261,Research & Development,7,3,Other,2,Male,31,2,3,Healthcare Representative,3,Single,10965.0,12066,8,0,24,4,3,0,26,2,3,5,2,0,0,Executive/Late Career,5,0,0.039098653088097346,0
51,0,Travel_Rarely,1178,Sales,14,2,Life Sciences,3,Female,87,3,2,Sales Executive,4,Married,4936.0,14862,4,0,11,3,3,1,18,2,2,7,7,0,7,Executive/Late Career,7,0,0.11704562363773321,0
36,0,Travel_Rarely,329,Research & Development,2,3,Life Sciences,4,Female,96,3,1,Research Scientist,3,Married,2543.0,11868,4,0,13,3,2,1,6,3,3,2,2,2,2,Senior/Management,0,0,0.038329741925508316,0
34,1,Non-Travel,1362,Sales,19,3,Marketing,1,Male,67,4,2,Sales Executive,4,Single,5304.0,4652,8,1,13,3,2,0,9,3,2,5,2,0,4,Core Contributor,5,0,0.7374856078664834,1
55,0,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,3,Female,97,3,4,Manager,4,Single,16659.0,23258,2,1,13,3,3,0,30,2,3,5,4,1,2,Executive/Late Career,4,0,0.05947153846830938,0
24,0,Travel_Rarely,1371,Sales,10,4,Marketing,4,Female,77,3,2,Sales Executive,3,Divorced,4260.0,5915,1,1,12,3,4,1,5,2,4,5,2,0,3,Early Career,5,0,0.09452807261798815,0
30,0,Travel_Rarely,202,Sales,2,1,Technical Degree,3,Male,72,3,1,Sales Representative,2,Married,2476.0,17434,1,0,18,3,1,1,1,3,3,1,0,0,0,Core Contributor,1,1,0.25824448625016905,0
26,1,Travel_Frequently,575,Research & Development,3,1,Technical Degree,3,Male,73,3,1,Research Scientist,1,Single,3102.0,6582,0,0,22,4,3,0,7,2,3,6,4,0,4,Core Contributor,6,0,0.25525538958796284,0
22,0,Travel_Rarely,253,Research & Development,11,3,Medical,1,Female,43,3,1,Research Scientist,2,Married,2244.0,24440,1,0,13,3,4,1,2,1,3,2,1,1,2,Early Career,1,1,0.1419918994209289,0
36,0,Travel_Rarely,164,Sales,2,2,Medical,2,Male,61,2,3,Sales Executive,3,Married,7596.0,3809,1,0,13,3,2,2,10,2,3,10,9,9,0,Senior/Management,1,0,0.11109395364387448,0
30,1,Travel_Frequently,464,Research & Development,4,3,Technical Degree,3,Male,40,3,1,Research Scientist,4,Single,2285.0,3427,9,1,23,4,3,0,3,4,3,1,0,0,0,Core Contributor,1,1,0.8327413589486206,1
37,0,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034.0,26914,1,0,12,3,3,1,18,2,2,18,7,12,17,Senior/Management,6,0,0.09188096985919332,0
40,0,Travel_Rarely,759,Sales,2,2,Marketing,4,Female,46,3,2,Sales Executive,2,Divorced,5715.0,22553,7,0,12,3,3,2,8,5,3,5,4,1,3,Senior/Management,4,0,0.11194199778237132,0
42,0,Travel_Rarely,201,Research & Development,1,4,Life Sciences,2,Female,95,3,1,Laboratory Technician,1,Divorced,2576.0,20490,3,0,16,3,2,1,8,5,3,5,2,1,2,Senior/Management,4,0,0.07167475557029833,0
37,0,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,3,Male,49,3,2,Manufacturing Director,2,Single,4197.0,21123,2,1,12,3,4,0,18,2,2,1,0,0,1,Senior/Management,1,1,0.14821049625138788,0
43,0,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,Male,59,2,4,Research Director,2,Divorced,14336.0,4345,1,0,11,3,3,1,25,3,3,25,10,3,9,Senior/Management,22,0,0.027760640327718557,0
40,0,Travel_Rarely,555,Research & Development,2,3,Medical,2,Female,78,2,2,Laboratory Technician,3,Married,3448.0,13436,6,0,22,4,2,1,20,3,3,1,0,0,0,Senior/Management,1,1,0.08146593589027323,0
54,0,Travel_Rarely,821,Research & Development,5,2,Medical,1,Male,86,3,5,Research Director,1,Married,19406.0,8509,4,0,11,3,3,1,24,4,2,4,2,1,2,Executive/Late Career,3,0,0.08799298693394833,0
34,0,Non-Travel,1381,Sales,4,4,Marketing,3,Female,72,3,2,Sales Executive,3,Married,6538.0,12740,9,0,15,3,1,1,6,3,3,3,2,1,2,Core Contributor,2,0,0.0850807401663419,0
31,0,Travel_Rarely,480,Research & Development,7,2,Medical,2,Female,31,3,2,Manufacturing Director,1,Married,4306.0,4156,1,0,12,3,2,1,13,5,1,13,10,3,12,Core Contributor,10,0,0.04877066850641118,0
43,0,Travel_Frequently,313,Research & Development,21,3,Medical,4,Male,61,3,1,Laboratory Technician,4,Married,2258.0,15238,7,0,20,4,1,1,8,1,3,3,2,1,2,Senior/Management,2,0,0.10100807115757447,0
43,0,Travel_Rarely,1473,Research & Development,8,4,Other,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522.0,2227,4,1,14,3,4,0,8,3,3,5,2,0,2,Senior/Management,5,0,0.1282310701160115,0
